kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
120507,Stabat,1205,Kabupaten Langkat,12,Sumatera Utara
120508,Wampu,1205,Kabupaten Langkat,12,Sumatera Utara
120509,Secanggang,1205,Kabupaten Langkat,12,Sumatera Utara
120510,Hinai,1205,Kabupaten Langkat,12,Sumatera Utara
120511,Tanjung Pura,1205,Kabupaten Langkat,12,Sumatera Utara
120512,Padang Tualang,1205,Kabupaten Langkat,12,Sumatera Utara
120513,Gebang,1205,Kabupaten Langkat,12,Sumatera Utara
120514,Babalan,1205,Kabupaten Langkat,12,Sumatera Utara
120515,Pangkalan Susu,1205,Kabupaten Langkat,12,Sumatera Utara
120516,Besitang,1205,Kabupaten Langkat,12,Sumatera Utara
120517,Sei Lepan,1205,Kabupaten Langkat,12,Sumatera Utara
120518,Berandan Barat,1205,Kabupaten Langkat,12,Sumatera Utara
120519,Batang Serangan,1205,Kabupaten Langkat,12,Sumatera Utara
120520,Sawit Seberang,1205,Kabupaten Langkat,12,Sumatera Utara
120521,Sirapit,1205,Kabupaten Langkat,12,Sumatera Utara
120522,Kutambaru,1205,Kabupaten Langkat,12,Sumatera Utara
120523,Pematang Jaya,1205,Kabupaten Langkat,12,Sumatera Utara
120601,Kabanjahe,1206,Kabupaten Karo,12,Sumatera Utara
120602,Berastagi,1206,Kabupaten Karo,12,Sumatera Utara
120603,Barusjahe,1206,Kabupaten Karo,12,Sumatera Utara
120604,Tigapanah,1206,Kabupaten Karo,12,Sumatera Utara
120605,Merek,1206,Kabupaten Karo,12,Sumatera Utara
120606,Munte,1206,Kabupaten Karo,12,Sumatera Utara
120607,Juhar,1206,Kabupaten Karo,12,Sumatera Utara
120608,Tigabinanga,1206,Kabupaten Karo,12,Sumatera Utara
120609,Laubaleng,1206,Kabupaten Karo,12,Sumatera Utara
120610,Mardingding,1206,Kabupaten Karo,12,Sumatera Utara
120611,Payung,1206,Kabupaten Karo,12,Sumatera Utara
120612,Simpang Empat,1206,Kabupaten Karo,12,Sumatera Utara
120613,Kutabuluh,1206,Kabupaten Karo,12,Sumatera Utara
120614,Dolat Rayat,1206,Kabupaten Karo,12,Sumatera Utara
120615,Merdeka,1206,Kabupaten Karo,12,Sumatera Utara
120616,Naman Teran,1206,Kabupaten Karo,12,Sumatera Utara
120617,Tiganderket,1206,Kabupaten Karo,12,Sumatera Utara
120701,Gunung Meriah,1207,Kabupaten Deli Serdang,12,Sumatera Utara
120702,Tanjung Morawa,1207,Kabupaten Deli Serdang,12,Sumatera Utara
120703,Sibolangit,1207,Kabupaten Deli Serdang,12,Sumatera Utara
