kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
110820,Paya Bakong,1108,Kabupaten Aceh Utara,11,Aceh,898,6251,7149,209,7631,PAYA BAKONG
110821,Nibong,1108,Kabupaten Aceh Utara,11,Aceh,329,5833,6163,144,6305,NIBONG
110822,Simpang Keuramat,1108,Kabupaten Aceh Utara,11,Aceh,598,5354,5951,238,6357,SIMPANG KRAMAT
110823,Lapang,1108,Kabupaten Aceh Utara,11,Aceh,288,4309,4611,221,4814,LAPANG
110824,Pirak Timu,1108,Kabupaten Aceh Utara,11,Aceh,469,3596,4065,160,4391,PIRAK TIMUR
110825,Geureudong Pase,1108,Kabupaten Aceh Utara,11,Aceh,245,2521,2771,73,2839,GEUREDONG PASE
110826,Banda Baro,1108,Kabupaten Aceh Utara,11,Aceh,233,4314,4547,244,4805,BANDA BARO
110827,Nisam Antara,1108,Kabupaten Aceh Utara,11,Aceh,397,6369,6766,238,7006,NISAM ANTARA
110901,Simeulue Tengah,1109,Kabupaten Simeulue,11,Aceh,793,1331,2124,16,2135,SIMEULUE TENGAH
110902,Salang,1109,Kabupaten Simeulue,11,Aceh,1684,2666,4351,23,4374,SALANG
110903,Teupah Barat,1109,Kabupaten Simeulue,11,Aceh,2095,2233,4328,90,4418,TEUPAH BARAT
110904,Simeulue Timur,1109,Kabupaten Simeulue,11,Aceh,3514,9319,12879,250,13054,SIMEULUE TIMUR
110905,Teluk Dalam,1109,Kabupaten Simeulue,11,Aceh,1527,1256,2783,32,2815,TELUK DALAM
110906,Simeulue Barat,1109,Kabupaten Simeulue,11,Aceh,2127,3612,5866,41,5907,SIMEULUE BARAT
110907,Teupah Selatan,1109,Kabupaten Simeulue,11,Aceh,2303,2650,4953,58,5011,TEUPAH SELATAN
110908,Alafan,1109,Kabupaten Simeulue,11,Aceh,1209,1416,2625,24,2649,ALAFAN
110909,Teupah Tengah,1109,Kabupaten Simeulue,11,Aceh,1319,1856,2995,249,3251,TEUPAH TENGAH
110910,Simeulue Cut,1109,Kabupaten Simeulue,11,Aceh,520,1382,1902,16,1926,SIMEULUE CUT
