kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
111016,Pulau Banyak Barat,1110,Kabupaten Aceh Singkil,11,Aceh,755,693,1448,97,1545
111101,Samalanga,1111,Kabupaten Bireuen,11,Aceh,1200,12563,13686,494,14247
111102,Jeunieb,1111,Kabupaten Bireuen,11,Aceh,722,12389,13111,301,13412
111103,Peudada,1111,Kabupaten Bireuen,11,Aceh,1290,12815,13932,738,14678
111104,Jeumpa,1111,Kabupaten Bireuen,11,Aceh,1173,15604,16769,661,17429
111105,Peusangan,1111,Kabupaten Bireuen,11,Aceh,1680,26569,28249,832,29079
111106,Makmur,1111,Kabupaten Bireuen,11,Aceh,547,7676,8223,530,8753
111107,Gandapura,1111,Kabupaten Bireuen,11,Aceh,652,12299,13167,361,13528
111108,Pandrah,1111,Kabupaten Bireuen,11,Aceh,315,4137,4452,177,4629
111109,Juli,1111,Kabupaten Bireuen,11,Aceh,1170,15980,17151,519,17670
111110,Jangka,1111,Kabupaten Bireuen,11,Aceh,646,14618,15272,454,15787
111111,Simpang Mamplam,1111,Kabupaten Bireuen,11,Aceh,1243,12074,13317,623,13941
111112,Peulimbang,1111,Kabupaten Bireuen,11,Aceh,368,5847,6216,190,6411
111113,Kota Juang,1111,Kabupaten Bireuen,11,Aceh,2088,22335,24341,694,25124
111114,Kuala,1111,Kabupaten Bireuen,11,Aceh,680,9611,10095,449,10544
111115,Peusangan Siblah Krueng,1111,Kabupaten Bireuen,11,Aceh,399,6068,6567,224,6603
111116,Peusangan Selatan,1111,Kabupaten Bireuen,11,Aceh,489,7172,7503,426,7929
111117,Kuta Blang,1111,Kabupaten Bireuen,11,Aceh,632,11867,12499,368,12868
111201,Blangpidie,1112,Kabupaten Aceh Barat Daya,11,Aceh,1143,12101,13232,431,13628
111202,Tangan-Tangan,1112,Kabupaten Aceh Barat Daya,11,Aceh,715,7240,7956,384,8341
111203,Manggeng,1112,Kabupaten Aceh Barat Daya,11,Aceh,828,7831,8659,426,9107
111204,Susoh,1112,Kabupaten Aceh Barat Daya,11,Aceh,1951,12048,13786,717,14691
111205,Kuala Batee,1112,Kabupaten Aceh Barat Daya,11,Aceh,1068,11252,12304,506,12829
111206,Babah Rot,1112,Kabupaten Aceh Barat Daya,11,Aceh,1322,10036,11358,532,11643
111207,Setia,1112,Kabupaten Aceh Barat Daya,11,Aceh,609,4405,5028,369,5358
111208,Jeumpa,1112,Kabupaten Aceh Barat Daya,11,Aceh,622,5697,6319,381,6726
111209,Lembah Sabil,1112,Kabupaten Aceh Barat Daya,11,Aceh,529,5931,6453,262,6743
111301,Blangkejeren,1113,Kabupaten Gayo Lues,11,Aceh,3121,12614,15532,722,16226
111302,Kutapanjang,1113,Kabupaten Gayo Lues,11,Aceh,1713,3508,5221,235,5456
111303,Rikit Gaib,1113,Kabupaten Gayo Lues,11,Aceh,1255,1427,2682,62,2744
111304,Terangun,1113,Kabupaten Gayo Lues,11,Aceh,2247,3270,5517,241,5598
111305,Pining,1113,Kabupaten Gayo Lues,11,Aceh,924,1910,2834,267,3101
111306,Blangpegayon,1113,Kabupaten Gayo Lues,11,Aceh,992,2431,3423,214,3641
111307,Puteri Betung,1113,Kabupaten Gayo Lues,11,Aceh,2332,2700,4861,322,5181
111308,Dabun Gelang,1113,Kabupaten Gayo Lues,11,Aceh,1144,2320,3464,161,3642
111309,Blangjerango,1113,Kabupaten Gayo Lues,11,Aceh,1995,2245,4240,276,4302
111310,Teripe Jaya,1113,Kabupaten Gayo Lues,11,Aceh,1967,1601,3568,143,3711
111311,Pantan Cuaca,1113,Kabupaten Gayo Lues,11,Aceh,1083,1413,2497,70,2567
111401,Teunom,1114,Kabupaten Aceh Jaya,11,Aceh,830,7483,8303,254,8553
111402,Krueng Sabee,1114,Kabupaten Aceh Jaya,11,Aceh,920,8219,9125,408,9453
111403,Setia Bakti,1114,Kabupaten Aceh Jaya,11,Aceh,563,4334,4776,287,5065
111404,Sampoi Niet,1114,Kabupaten Aceh Jaya,11,Aceh,507,3784,4291,155,4446
111405,Jaya,1114,Kabupaten Aceh Jaya,11,Aceh,776,8538,9240,257,9513
111406,Panga,1114,Kabupaten Aceh Jaya,11,Aceh,774,4261,5039,171,5101
111407,Indra Jaya,1114,Kabupaten Aceh Jaya,11,Aceh,368,3860,4228,69,4292
111408,Darul Hikmah,1114,Kabupaten Aceh Jaya,11,Aceh,424,3560,3984,163,4147
111409,Pasie Raya,1114,Kabupaten Aceh Jaya,11,Aceh,478,3898,4376,171,4547
111501,Kuala,1115,Kabupaten Nagan Raya,11,Aceh,1759,10670,12435,392,12450
111502,Seunagan,1115,Kabupaten Nagan Raya,11,Aceh,979,9027,10006,199,9913
111503,Seunagan Timur,1115,Kabupaten Nagan Raya,11,Aceh,794,8261,9199,239,9438
111504,Beutong,1115,Kabupaten Nagan Raya,11,Aceh,855,8143,9042,242,9152
111505,Darul Makmur,1115,Kabupaten Nagan Raya,11,Aceh,4646,23094,27737,965,28447
111506,Suka Makmue,1115,Kabupaten Nagan Raya,11,Aceh,503,5675,6178,342,6008
111507,Kuala Pesisir,1115,Kabupaten Nagan Raya,11,Aceh,1482,8523,10000,293,10288
111508,Tadu Raya,1115,Kabupaten Nagan Raya,11,Aceh,1499,7068,8572,255,8876
111509,Tripa Makmur,1115,Kabupaten Nagan Raya,11,Aceh,372,5003,5456,150,5458
111510,Beutong Ateuh Banggalang,1115,Kabupaten Nagan Raya,11,Aceh,43,1184,1227,29,1255
111601,Manyak Payed,1116,Kabupaten Aceh Tamiang,11,Aceh,2007,15669,17442,614,18136
111602,Bendahara,1116,Kabupaten Aceh Tamiang,11,Aceh,1718,10459,12177,281,12457
111603,Karang Baru,1116,Kabupaten Aceh Tamiang,11,Aceh,2611,20884,23498,362,23746
111604,Seruway,1116,Kabupaten Aceh Tamiang,11,Aceh,2537,12288,14779,408,15305
111605,Kota Kualasinpang,1116,Kabupaten Aceh Tamiang,11,Aceh,2110,7937,10047,154,10206
111606,Kejuruan Muda,1116,Kabupaten Aceh Tamiang,11,Aceh,3681,15098,18839,361,19198
111607,Tamiang Hulu,1116,Kabupaten Aceh Tamiang,11,Aceh,1830,8671,10378,264,10432
111608,Rantau,1116,Kabupaten Aceh Tamiang,11,Aceh,2577,17605,20230,524,20356
111609,Banda Mulia,1116,Kabupaten Aceh Tamiang,11,Aceh,795,5932,6577,415,7067
111610,Bandar Pusaka,1116,Kabupaten Aceh Tamiang,11,Aceh,1307,5662,7101,162,7263
111611,Tenggulun,1116,Kabupaten Aceh Tamiang,11,Aceh,2481,6493,8974,299,9322
111612,Sekerak,1116,Kabupaten Aceh Tamiang,11,Aceh,421,3487,3908,67,3976
111701,Pintu Rime Gayo,1117,Kabupaten Bener Meriah,11,Aceh,3703,3942,7565,247,7893
111702,Permata,1117,Kabupaten Bener Meriah,11,Aceh,5131,6083,11209,398,11629
111703,Syiah Utama,1117,Kabupaten Bener Meriah,11,Aceh,599,570,1169,10,1179
111704,Bandar,1117,Kabupaten Bener Meriah,11,Aceh,5965,9983,15957,300,16247
111705,Bukit,1117,Kabupaten Bener Meriah,11,Aceh,7222,9368,16590,360,16865
