kodim_id,korem_id,kodam_id,kodam,korem,name,address,lat,lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
KODIM-082,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0726/Sukoharjo,"Makodim Kodim 0726/Sukoharjo, Sukoharjo",-7.6781553,110.8385951,Sukoharjo,Kabupaten Sukoharjo,-7.6781553,110.8385951
KODIM-083,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0727/Karanganyar,"Makodim Kodim 0727/Karanganyar, Karanganyar",-7.593523,110.939477,Karanganyar,Kabupaten Karanganyar,-7.593523,110.939477
KODIM-084,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0728/Wonogiri,"Makodim Kodim 0728/Wonogiri, Wonogiri",-7.818807,110.922962,Wonogiri,Kabupaten Wonogiri,-7.818807,110.922962
KODIM-085,KOREM-016,KODAM-04,Kodam IV/Diponegoro,Korem 074/Warastratama,Kodim 0735/Surakarta,"Makodim Kodim 0735/Surakarta, Surakarta",-7.5550469,110.7989676,Laweyan,Kota Surakarta,-7.5550469,110.7989676
KODIM-086,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1601/Waingapu,"Makodim Kodim 1601/Waingapu, Waingapu",-9.644938,120.2549687,Paga,Kabupaten Sikka,-9.644938,120.2549687
KODIM-087,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1602/Ende,"Makodim Kodim 1602/Ende, Ende",-8.8421678,121.6437203,Ende Utara,Kabupaten Ende,-8.8421678,121.6437203
KODIM-088,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1603/Maumere,"Makodim Kodim 1603/Maumere, Maumere",-8.627063,122.2320026,Alok Timur,Kabupaten Sikka,-8.627063,122.2320026
KODIM-089,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1604/Kupang,"Makodim Kodim 1604/Kupang, Kupang",-10.1669,123.583,Kota Raja,Kota Kupang,-10.1669,123.583
KODIM-090,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1605/Belu,"Makodim Kodim 1605/Belu, Belu",-9.1005001,124.8990077,Kota Atambua,Kabupaten Belu,-9.1005001,124.8990077
KODIM-091,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1612/Ruteng,"Makodim Kodim 1612/Ruteng, Ruteng",-8.6081362,120.4699561,Teluk Mutiara,Kabupaten Alor,-8.6081362,120.4699561
KODIM-092,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1613/Sumba Barat,"Makodim Kodim 1613/Sumba Barat, Sumba Barat",-9.6369253,119.4114009,Kota Waikabubak,Kabupaten Sumba Barat,-9.6369253,119.4114009
KODIM-093,KOREM-017,KODAM-05,Kodam IX/Udayana,Korem 161/Wira Sakti,Kodim 1618/Kefamenanu,"Makodim Kodim 1618/Kefamenanu, Kefamenanu",-9.4635543,124.4837777,Kota Kefamenanu,Kabupaten Timor Tengah Utara,-9.4635543,124.4837777
